Nombre,Direccion,CCAA,Latitud,Longitud,Telefono,URL,Correo,Facebook,Categoria,Tamaño,Capaciadad,Capacidad,Ocupacion,id_centro
AXARQUIA ANIMAL RESCUE,"Avenida de Andalucía, nº 147 -TORRE DEL MAR- , Vélez-Málaga (MALAGA) , Andalucía, España",Andalucía,36.7379457,-4.1011723,+34923286460,http://www.axarquiaanimalrescue.com,axarquiaan@ribes.com,homepage/axarquiaanimalrescue,mixta,mediana,,285,78,000032
AYUDA A LOS ANIMALES ALBA,"URB VISTA PALOMA Nº 41 , Tarifa (CADIZ) , Andalucía, España",Andalucía,36.0187758,-5.6063254,+34711 378 399,http://www.ayudaalosanimalesalba.com,ayudaalos@mateu.com,home/ayudaalosanimalesalba,mixta,pequeña,,77,51,000033
AYUDA A LOS ANIMALES DE PADUL Y DÚRCAL,"C/ OLIVARILLO, Nº 32 , Padul (GRANADA) , Andalucía, España",Andalucía,37.0256562,-3.6196913,+34812 88 93 69,http://www.ayudaalosanimalesdepadulydrcal.com,ayudaalo@alfonso.com,home/ayudaalosanimalesdepadulydrcal,canina,pequeña,,65,89,000034
BE ANIMAL,"C/ JIMENA DE LA FRONTERA N 10 , Castellar de la Frontera (CADIZ) , Andalucía, España",Andalucía,36.2887063,-5.417907,+34 877 31 32 00,http://www.beanimal.com,beani@vera.com,index/beanimal,mixta,grande,,462,199,000035
COLECTIVO ANIMALISTA DEL CONDADO,"CL 3 DE ABRIL 19 , Bollullos Par del Condado (HUELVA) , Andalucía, España",Andalucía,37.3327438,-6.537075,+34849 769 807,http://www.colectivoanimalistadelcondado.com,colectivo@paniagua.es,terms/colectivoanimalistadelcondado,mixta,grande,,415,332,000036
DDEVIDA ( DEFENSA DE LOS DERECHOS DE LA VIDA ANIMAL ),"C/ Cristo de los Afligidos, 43B , Utrera (SEVILLA) , Andalucía, España",Andalucía,37.1801622,-5.785377,+34 946508902,http://www.ddevidadefensadelosderechosdelavidaanimal.com,ddevidadef@ramirez-uria.net,main/ddevidadefensadelosderechosdelavidaanimal,mixta,grande,,469,494,000037
DE ANIMALES DE BERJA,"Carretera de Adra nº 20 , Berja (ALMERIA) , Andalucía, España",Andalucía,36.8040294,-2.9802931,+34 844 17 75 16,http://www.deanimalesdeberja.com,deani@penalver.com,home/deanimalesdeberja,canina,mediana,,164,213,000038
DE ANIMALES VALIENTES PELUDOS,"C/ Miguel Hernández, nº 38 , Cuevas Bajas (MALAGA) , Andalucía, España",Andalucía,37.231632,-4.4866278,+34 888538945,http://www.deanimalesvalientespeludos.com,deanimale@gabaldon.com,category/deanimalesvalientespeludos,mixta,mediana,,228,244,000039
DE BOLLULLOS PARA LA DEFENSA ANIMAL BADA,"C/ SIERRA MAGINA 21 , Bollullos de la Mitación (SEVILLA) , Andalucía, España",Andalucía,37.3322306,-6.1382807,+34887 09 84 31,http://www.debollullosparaladefensaanimalbada.com,debollull@recio.es,search/debollullosparaladefensaanimalbada,mixta,pequeña,,78,36,000040
DE DEFENSA Y CONCIENCIA ANIMAL GRANADA - C.A.G.,"C/ SANTA PAULA, Nº 18 , Malahá (La) (GRANADA) , Andalucía, España",Andalucía,37.0966437,-3.7220349,+34884 95 40 00,http://www.dedefensayconcienciaanimalgranadac.a.g..com,dedef@cuesta.es,privacy/dedefensayconcienciaanimalgranadac.a.g.,canina,grande,,468,335,000041
DE MUJERES ANIMALISTAS LUX DUBIA,"C/ CAPILLITA DEL CARMEN Nº 23 , Sanlúcar de Barrameda (CADIZ) , Andalucía, España",Andalucía,36.7874889,-6.3493414,+34800478129,http://www.demujeresanimalistasluxdubia.com,demujer@cuadrado.org,register/demujeresanimalistasluxdubia,mixta,mediana,,282,189,000042
DE PROTECCION ANIMAL CON UÑAS Y DIENTES,"calle El Pozo, n. 3 , Isla Cristina (HUELVA) , Andalucía, España",Andalucía,37.2247302,-7.3139177,+34 928 850 258,http://www.deproteccionanimalconuasydientes.com,deprotecc@pi-melero.org,faq/deproteccionanimalconuasydientes,mixta,grande,,456,344,000043
DE PROTECCIÓN ANIMAL VEGA,"AVDA. DE LOS ALMENDROS, Nº 162 , Huétor Vega (GRANADA) , Andalucía, España",Andalucía,37.1442503,-3.5646121,+34926 26 50 46,http://www.deproteccinanimalvega.com,depro@asenjo.es,terms/deproteccinanimalvega,mixta,grande,,456,306,000044
DE PROTECCIÓN DE ANIMALES LA TROUPE,"C/ LOS ALAYOS, Nº 11 , Ogíjares (GRANADA) , Andalucía, España",Andalucía,37.1121115,-3.6155972,+34 879 149 808,http://www.deproteccindeanimaleslatroupe.com,deprotecci@rosa.es,faq/deproteccindeanimaleslatroupe,mixta,pequeña,,32,34,000045
DE RESCATE ANIMAL BRIGADA ANIMALISTA,"AV. DE LA ATALAYA Nº 50 , Sanlúcar de Barrameda (CADIZ) , Andalucía, España",Andalucía,36.7680768,-6.339302,+34800 486 783,http://www.derescateanimalbrigadaanimalista.com,deresca@pelaez.es,homepage/derescateanimalbrigadaanimalista,mixta,pequeña,,21,17,000046
EL RINCÓN DE DOÑANA PARA LA DEFENSA DE LOS ANIMALES DE ALMONTE(HUELVA),"C/ LUIS BENJUMEA Nº 9 , Almonte (HUELVA) , Andalucía, España",Andalucía,37.2617737,-6.5162698,+34 936616647,http://www.elrincndedoanaparaladefensadelosanimalesdealmontehuelva.com,elrincnd@beltran-sabater.es,privacy/elrincndedoanaparaladefensadelosanimalesdealmontehuelva,mixta,pequeña,,83,123,000047
EN DEFENSA DE ANIMALES EN APUROS ALMERIA,"CALLE Alhamilla 51 AGUADULCE , Roquetas de Mar (ALMERIA) , Andalucía, España",Andalucía,36.8089714,-2.5820808,+34 824 235 373,http://www.endefensadeanimalesenapurosalmeria.com,endefen@laguna.com,about/endefensadeanimalesenapurosalmeria,canina,mediana,,282,207,000048
GRUPO ANIMALISTA LA ALGABA -GALA,"C/ Gran Capitán, 22  , Algaba (La) (SEVILLA) , Andalucía, España",Andalucía,37.4640837,-6.0155915,+34 820 62 24 04,http://www.grupoanimalistalaalgabagala.com,grupoan@hurtado.com,main/grupoanimalistalaalgabagala,mixta,mediana,,116,37,000049
GRUPO DE PROTECCION ANIMAL DE RUTE,"C/ CERRO DE LA HIGUERA, 7 , Rute (CORDOBA) , Andalucía, España",Andalucía,37.3157319,-4.3742999,+34900 65 68 08,http://www.grupodeproteccionanimalderute.com,grupod@rodriguez-prat.es,category/grupodeproteccionanimalderute,mixta,pequeña,,72,34,000050
"GRUPO PROTECTOR DE ANIMALES, ANIMAL LUZ","C/ Madrid, nº 18 , Dos Hermanas (SEVILLA) , Andalucía, España",Andalucía,37.2769498,-5.9159459,+34924 918 220,http://www.grupoprotectordeanimalesanimalluz.com,grupoprote@roman.com,category/grupoprotectordeanimalesanimalluz,mixta,pequeña,,72,64,000051
HUELLITAS ARROYENCAS - PROTECTORA DE ANIMALES,"calle Antonio Machado, n. 37 , Arroyomolinos de León (HUELVA) , Andalucía, España",Andalucía,38.0261751,-6.4227037,+34 880 04 40 22,http://www.huellitasarroyencasprotectoradeanimales.com,huelli@solsona-milla.es,home/huellitasarroyencasprotectoradeanimales,mixta,grande,,490,272,000052
LUCENA ANIMALISTA,"C/ ARÉVALO, 58 , Lucena (CORDOBA) , Andalucía, España",Andalucía,37.4122512,-4.485259,+34803369633,http://www.lucenaanimalista.com,lucenaan@heras.es,category/lucenaanimalista,canina,pequeña,,32,45,000053
MALENA PROTECTORA DE ANIMALES -ANIVIDA,"AVDA. DE JOAQUIN PECCI, 47 , Posadas (CORDOBA) , Andalucía, España",Andalucía,37.8033693,-5.1151233,+34 869 30 90 82,http://www.malenaprotectoradeanimalesanivida.com,malenapro@carlos.es,privacy/malenaprotectoradeanimalesanivida,mixta,grande,,392,289,000054
MORISCA PARA LA DEFENSA ADOPCIÓN Y RESPETO A LOS ANIMALES -AMDARA,"Plaza Nueva, 45 , Puebla de Cazalla (La) (SEVILLA) , Andalucía, España",Andalucía,37.2192251,-5.3134722,+34827306218,http://www.moriscaparaladefensaadopcinyrespetoalosanimalesamdara.com,moriscapar@cervera.es,privacy/moriscaparaladefensaadopcinyrespetoalosanimalesamdara,mixta,grande,,451,732,000055
OLULA RESCATE ANIMAL,"PLAZA DE ESPAÑA, 1 , Olula del Río (ALMERIA) , Andalucía, España",Andalucía,37.3520796,-2.297963812326042,+34885490284,http://www.olularescateanimal.com,olula@arranz-ribes.es,home/olularescateanimal,mixta,pequeña,,95,45,000056
PALMA PERRUNA PROTECTORA DE ANIMALES,"CL FRANCISCO REYES ASENJO 7 , Palma del Condado (La) (HUELVA) , Andalucía, España",Andalucía,37.3801217,-6.5522534,+34845 20 10 68,http://www.palmaperrunaprotectoradeanimales.com,palmaperr@mendoza.com,post/palmaperrunaprotectoradeanimales,canina,pequeña,,67,98,000057
PARA EL RESPETO Y CUIDADO DE LOS ANIMALES -A.R.C.A.,"C/ SORIA Nº 24 , Alcalá de Guadaíra (SEVILLA) , Andalucía, España",Andalucía,37.3342893,-5.8291984,+34 884 583 351,http://www.paraelrespetoycuidadodelosanimalesa.r.c.a..com,parae@briones.es,about/paraelrespetoycuidadodelosanimalesa.r.c.a.,mixta,mediana,,258,441,000058
PARA LA CONVIVENCIA Y LA DEFENSA DE LOS ANIMALES DE LA RODA DE ANDALUCÍA,"C/ FERIA Nº 17 , Roda de Andalucía (La) (SEVILLA) , Andalucía, España",Andalucía,37.2016434,-4.782774,+34883 79 62 95,http://www.paralaconvivenciayladefensadelosanimalesdelarodadeandaluca.com,paral@paniagua-medina.com,login/paralaconvivenciayladefensadelosanimalesdelarodadeandaluca,mixta,pequeña,,87,151,000059
PARA LA PROTECCION ANIMAL EL ALBERGUE,"C/ GRACIA FERNANDEZ PALACIOS Nº 4 , Sevilla (SEVILLA) , Andalucía, España",Andalucía,37.386128,-5.9976436,+34849 265 453,http://www.paralaproteccionanimalelalbergue.com,paralap@exposito.es,search/paralaproteccionanimalelalbergue,mixta,mediana,,299,508,000060
PARA LA PROTECCIÓN DE ANIMALES DE CABRA,"C/ Palomas, Nº 2 , Cabra (CORDOBA) , Andalucía, España",Andalucía,37.4736503,-4.4438411,+34978 286 447,http://www.paralaproteccindeanimalesdecabra.com,parala@villegas-solera.es,homepage/paralaproteccindeanimalesdecabra,mixta,pequeña,,74,43,000061
PARA LA PROTECCIÓN DE ANIMALES DE LA CALLE DE GAUCÍN - ADECA,"C/ ARRABALETE Nº-72 , Gaucín (MALAGA) , Andalucía, España",Andalucía,36.5160023,-5.3148636,+34881 16 57 95,http://www.paralaproteccindeanimalesdelacalledegaucnadeca.com,paralaprot@perez-ojeda.com,about/paralaproteccindeanimalesdelacalledegaucnadeca,canina,pequeña,,29,34,000062
PARA LA PROTECCION DE ANIMALES DOMESTICOS DE COMPAÑIA DE GAUCIN,"C/ ARRABALETE, Nº 37 , Gaucín (MALAGA) , Andalucía, España",Andalucía,36.5160023,-5.3148636,+34 901 67 08 73,http://www.paralaprotecciondeanimalesdomesticosdecompaiadegaucin.com,paralapr@arnaiz-lorenzo.es,about/paralaprotecciondeanimalesdomesticosdecompaiadegaucin,mixta,grande,,337,484,000063
PARA LA PROTECCION DE LOS ANIMALES DOMESTICOS DEJAN HUELLA CASTRO DEL RIO,"C/ DEHESILLA DE TEJARES, 31 , Castro del Río (CORDOBA) , Andalucía, España",Andalucía,37.686087,-4.4804516,+34705665655,http://www.paralaprotecciondelosanimalesdomesticosdejanhuellacastrodelrio.com,paralaprot@herrero.com,category/paralaprotecciondelosanimalesdomesticosdejanhuellacastrodelrio,mixta,mediana,,264,394,000064
PARA LA PROTECCIÓN Y DEFENSA DE ANIMALES ESTAMOS CONTIGO,"C/ Céspedes, 20 , Lebrija (SEVILLA) , Andalucía, España",Andalucía,36.9183024,-6.0807764,+34714 857 855,http://www.paralaproteccinydefensadeanimalesestamoscontigo.com,paralapr@saenz.org,home/paralaproteccinydefensadeanimalesestamoscontigo,mixta,pequeña,,77,90,000065
PARA LA PROTECCIÓN Y DEFENSA DE LOS ANIMALES -PARQUE ANIMAL,"AVDA. SAN ANTON, S/N , Torremolinos (MALAGA) , Andalucía, España",Andalucía,36.6233348,-4.5116399,+34930692718,http://www.paralaproteccinydefensadelosanimalesparqueanimal.com,parala@sastre.es,category/paralaproteccinydefensadelosanimalesparqueanimal,mixta,grande,,413,476,000066
PATERNA ANIMALISTA,"CL CRISTINA 10-A , Paterna del Campo (HUELVA) , Andalucía, España",Andalucía,37.420056,-6.4012162,+34 849 14 35 68,http://www.paternaanimalista.com,pater@blazquez-roldan.com,terms/paternaanimalista,mixta,mediana,,179,155,000067
PLATAFORMA GADITANA DE DEFENSA ANIMAL PLAGDA,"C/ TUCAN Nº 1 , Jerez de la Frontera (CADIZ) , Andalucía, España",Andalucía,36.6826939,-6.1141359,+34 846980601,http://www.plataformagaditanadedefensaanimalplagda.com,plata@carrasco.org,faq/plataformagaditanadedefensaanimalplagda,canina,grande,,427,624,000068
PRO-ANIMALES DE CASTILBLANCO - APAC,"C/ Alonso Cano nº 13 , Castilblanco de los Arroyos (SEVILLA) , Andalucía, España",Andalucía,37.6695463,-5.9899407,+34981 469 521,http://www.proanimalesdecastilblancoapac.com,proanimal@nevado.com,register/proanimalesdecastilblancoapac,mixta,pequeña,,21,23,000069
PROANIMALES DE VILLANUEVA DE LA REINA,"C/ REAL, Nº 1 , Villanueva de la Reina (JAEN) , Andalucía, España",Andalucía,38.0051112,-3.9171216,+34941 897 411,http://www.proanimalesdevillanuevadelareina.com,proanima@campos.es,homepage/proanimalesdevillanuevadelareina,felina,mediana,,289,280,000070
PROANIMALES ROSALES - TOCINA A.P.A.R.T.,"C/ DOCTOR FLEMING, Nº 5 , Tocina (SEVILLA) , Andalucía, España",Andalucía,37.6060617,-5.7324607,+34 826071060,http://www.proanimalesrosalestocinaa.p.a.r.t..com,proani@mendizabal.com,register/proanimalesrosalestocinaa.p.a.r.t.,canina,grande,,359,558,000071
PRO-DERECHO DEL ANIMAL PRODEAN CAMPO DE GIBRALTAR,"CAMINO DE TORRENUEVA Nº 99 , Línea de la Concepción (La) (CADIZ) , Andalucía, España",Andalucía,36.1783565,-5.3381835,+34 879192111,http://www.proderechodelanimalprodeancampodegibraltar.com,prode@nicolau.com,register/proderechodelanimalprodeancampodegibraltar,mixta,grande,,352,591,000072
PROTECCIÓN ANIMAL DE PINOS PUENTE,"C/ SOL, Nº 32 , Pinos Puente (GRANADA) , Andalucía, España",Andalucía,37.1805919,-3.9019989,+34943 104 366,http://www.proteccinanimaldepinospuente.com,proteccin@fortuny.es,author/proteccinanimaldepinospuente,mixta,mediana,,180,127,000073
PROTECTORA ALMA ANIMAL,"C/ BUENSUCESO Nº 12 , Villaralto (CORDOBA) , Andalucía, España",Andalucía,38.4549046,-4.98398,+34 843 16 09 83,http://www.protectoraalmaanimal.com,protec@penalver.es,privacy/protectoraalmaanimal,felina,pequeña,,21,31,000074
PROTECTORA DE ANIMALES - GATITA LUCIA -,"ACANTILADO N 11 , Puerto Real (CADIZ) , Andalucía, España",Andalucía,36.5327956,-6.2002766,+34 949 300 885,http://www.protectoradeanimalesgatitalucia.com,protec@velasco.com,post/protectoradeanimalesgatitalucia,felina,grande,,338,460,000075
PROTECTORA DE ANIMALES ABANDONADOS DE LAS NEGRAS,"C/ SOTAVENTO, 1 , Níjar (ALMERIA) , Andalucía, España",Andalucía,36.878765,-2.0094389,+34948475241,http://www.protectoradeanimalesabandonadosdelasnegras.com,prote@almagro.es,author/protectoradeanimalesabandonadosdelasnegras,mixta,mediana,,212,95,000076
PROTECTORA DE ANIMALES ALORADOGRESCUE,"C/ LIBERTAD Nº-2 , Pizarra (MALAGA) , Andalucía, España",Andalucía,36.7699399,-4.7056769,+34978 499 338,http://www.protectoradeanimalesaloradogrescue.com,protect@nino.net,search/protectoradeanimalesaloradogrescue,mixta,grande,,478,557,000077
PROTECTORA DE ANIMALES ARCA DEL TORCAL,"C/ SAN PEDRO Nº 11 , Antequera (MALAGA) , Andalucía, España",Andalucía,37.0204369,-4.5552619,+34980 47 00 90,http://www.protectoradeanimalesarcadeltorcal.com,prote@macias.es,login/protectoradeanimalesarcadeltorcal,mixta,grande,,332,561,000078
PROTECTORA DE ANIMALES CAMINO A CASA,"C/ Virgen del Rocío, nº 38 , Valencina de la Concepción (SEVILLA) , Andalucía, España",Andalucía,37.4092191,-6.073099,+34825703714,http://www.protectoradeanimalescaminoacasa.com,protector@manzanares-poza.com,register/protectoradeanimalescaminoacasa,mixta,pequeña,,42,25,000079
PROTECTORA DE ANIMALES CHIPIONA ADOPTALOS,"AVDA DE LOS CANGREJOS Nº 2 , Chipiona (CADIZ) , Andalucía, España",Andalucía,36.7288358,-6.4327061,+34 846 93 70 59,http://www.protectoradeanimaleschipionaadoptalos.com,protec@navarro.org,post/protectoradeanimaleschipionaadoptalos,felina,pequeña,,73,103,000080
PROTECTORA DE ANIMALES COMPAÑERO FIEL,"C/ SALVADOR MUÑOZ, 36 , Baena (CORDOBA) , Andalucía, España",Andalucía,37.6203578,-4.3228101,+34821 54 34 37,http://www.protectoradeanimalescompaerofiel.com,protectora@ramis.es,terms/protectoradeanimalescompaerofiel,mixta,mediana,,139,41,000081
PROTECTORA DE ANIMALES COMUNES Y EXOTICOS TORREMOLINOS APACET,"c/ Periodista Rafael Ramis, 12 , Torremolinos (MALAGA) , Andalucía, España",Andalucía,36.6171948,-4.508576427196095,+34803 91 02 24,http://www.protectoradeanimalescomunesyexoticostorremolinosapacet.com,protect@marin.net,privacy/protectoradeanimalescomunesyexoticostorremolinosapacet,mixta,grande,,486,137,000082
